ua,lon,lat,uf,bioma,municipio,lote,data,impedimento,status_derivado,fontes
GO_425,-50.04004,-16.02017,GO,Cerrado,Goiás,GO-02,2018/04/13 00:00:00,,medido_completo,ua|uso
GO_426,-49.86009,-16.01989,GO,Cerrado,Itaberaí,GO-01,2018/04/18 00:00:00,,medido_completo,ua|uso
GO_427,-49.68055,-16.02017,GO,Cerrado,Itaberaí,GO-02,2018/04/18 00:00:00,,medido_completo,ua|uso
GO_428,-49.50005,-16.01995,GO,Cerrado,Santa Rosa de Goiás,GO-02,2018/03/09 00:00:00,,medido_completo,ua|uso
GO_429,-49.32035,-16.02002,GO,Cerrado,Petrolina de Goiás,GO-02,2018/03/08 00:00:00,,medido_completo,ua|uso
GO_43,-46.98036,-13.31997,GO,Cerrado,Monte Alegre de Goiás,GO-01,2018/10/03 00:00:00,,medido_completo,ua|uso
GO_430,-49.14025,-16.02009,GO,Cerrado,Pirenópolis,GO-02,2018/03/08 00:00:00,,medido_completo,ua|uso
GO_431,-48.9601,-16.0201,GO,Cerrado,Pirenópolis,GO-02,2018/03/20 00:00:00,,medido_completo,ua|uso
GO_432,-48.78005,-16.0199,GO,Cerrado,Corumbá de Goiás,GO-02,2018/03/13 00:00:00,,medido_completo,ua|uso
GO_433,-48.60006,-16.02003,GO,Cerrado,Alexânia,GO-02,2018/03/16 00:00:00,,medido_completo,ua|uso
GO_434,-48.42037,-16.01997,GO,Cerrado,Alexânia,GO-02,2018/03/21 00:00:00,,medido_completo,ua|uso
GO_435,-52.38006,-16.20011,GO,Cerrado,Baliza,GO-03,2018/06/20 00:00:00,,medido_completo,ua|uso
GO_436,-52.2003,-16.20018,GO,Cerrado,Bom Jardim de Goiás,GO-03,2018/06/20 00:00:00,,medido_completo,ua|uso
GO_437,-52.02021,-16.20006,GO,Cerrado,Bom Jardim de Goiás,GO-03,2018/06/20 00:00:00,,medido_completo,ua|uso
GO_438,-51.84038,-16.20012,GO,Cerrado,Piranhas,GO-03,2018/06/11 00:00:00,,medido_completo,ua|uso
GO_439,-51.66007,-16.20012,GO,Cerrado,Arenópolis,GO-03,2018/06/11 00:00:00,,medido_completo,ua|uso
GO_44,-46.80005,-13.32004,GO,Cerrado,Monte Alegre de Goiás,GO-01,2018/10/02 00:00:00,,medido_completo,ua|uso
